PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
5627254;Agencia de Actividades; ; Laborables, de lunes a viernes de 8:30 a 14 horas (atención al público). Servicio de  Información urbanística,  es preciso concertar   cita previa . Para consultar expedientes relativos a  disciplina urbanística y sancionadora , la  atención presencial  es con  cita previa , y la atención telefónica se realizará a través del número de  teléfono indicado en la notificación  practicada al interesado. ;Zona wifi; Bus: 6 , 8 , 19 , 45 , 47 , 55 , 59 , 85 , 86 , 102 y 152.  Metro: Delicias, Palos de la Frontera (Línea 3), Atocha (Línea 1), Méndez Alvaro (Línea 6).   Renfe: Delicias, Atocha ;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=42b3212f7e497210VgnVCM2000000c205a0aRCRD;BUSTAMANTE;CALLE;V;16;;;;;MADRID;MADRID;28045;DELICIAS;ARGANZUELA;441704;4472640;40.400.449.587.879.100;-36.882.686.006.118.100;Información general: 010;;;/contenido/entidadesYorganismos/AyuntamientoMadrid/OrganismosEmpresasMunicipales; 
213;Área de Gobierno de Equidad, Derechos Sociales y Empleo;"  Titular del Área:    Marta Higueras Garrobo    Competencias:  políticas de igualdad entre mujeres y hombres; familia e infancia; servicios sociales y atención a las personas en situación de dependencia; mayores; inmigración; educación y juventud. Asimismo corresponden a este área las competencias en materia de vivienda; las competencias de comercio; fomento del empleo; turismo, e innovación tecnológica.   Empresas y organismos adscritos    Empresa Municipal de la Vivienda  Organismo Autónomo Agencia para el Empleo  Empresa Mixta de Mercado Central de Abastos (Mercamadrid)    Organigrama  ";;Zona wifi;;;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2805ff632081c010VgnVCM1000000b205a0aRCRD;CHOPERA;PASEO;V;41;;;;;MADRID;MADRID;28045;CHOPERA;ARGANZUELA;440786;4471949;4.039.415.981.141.730;-36.990.213.657.093.100;915 881 000;;ag.equidaddsociales@madrid.es;/contenido/entidadesYorganismos/AyuntamientoMadrid/AreasGobierno; 
1757;Biblioteca Pública Municipal Aluche (Latina); La Biblioteca Pública de Aluche se inauguró en junio de 1992 con la asistencia del entonces alcalde D. José María Alvarez del Manzano. Se sitúa en la primera planta del Centro Cultural Fernando de los Ríos, diseñado por el arquitecto José María Guijarro. Desde 1986 y hasta la fecha de su inauguración oficial, se encontraba situada en este mismo centro cultural y planta pero en el ala derecha del edificio y con la mitad de superficie. La ubicación de la biblioteca en el centro cultural en la década de los 80  se decidió porque éste era considerado un elemento aglutinador de la vida asociativa y cultural de los distritos.  ; De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.  Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios. "; Metro : Laguna, Casa de Campo, Aluche  RENFE:  Laguna, Aluche   Bus : 25, 31, 138;   Superficie:  712 metros cuadrados   Puestos de lectura:  130   Puestos de Internet:  18   Bibliotecarios:  Lorenzo Jimenez-Pérez del Postigo  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7f0e3d0b5e71c010VgnVCM1000000b205a0aRCRD;CAMARENA;CALLE;V;10;;;;;MADRID;MADRID;28047;ALUCHE;LATINA;435929;4472190;4.039.597.072.367.930;-37.562.716.852.987.800;91 719 89 96;;bpaluche@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1755;Biblioteca Pública Municipal Ana María Matute (Carabanchel);" La Biblioteca Pública Municipal Ana María Matute sustituyó a la antigua Biblioteca Pública Municipal de Carabanchel. La Biblioteca de Carabanchel, sita en la calle de los Hermanos del Moral 15, fue inaugurada el 12 de diciembre de 1981 por el entonces alcalde, Enrique Tierno Galván, contaba con unos 250  m&sup2; . Despues de 32 años de servicio, se traslada a su actual emplazamiento bajo el nombre actual. El proyecto arquitectónico fue encargado al estudio RSP. A la inauguración, el 28 de enero de 2013, asistieron la escritora Ana María Matute y la alcaldesa Ana María Botella.  "; De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.  Espacios:  Sala de consulta y lectura; Salas de trabajo en grupo; Sala polivalente; Zona de publicaciones periódicas; Sala infantil y juvenil.  Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de telelupa; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro : Marqués de Vadillo  Bus:  34, 35, 50, 118 y 119.;   Superficie:  3.369 metros cuadrados   Puestos de lectura:  244   Puestos de Internet:  44   Sala polivalente:  74   Salas de trabajo en grupo:  3 (20 personas en total)   Bibliotecarios:  Luis Iglesias Cadarso (director)  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=628e3d0b5e71c010VgnVCM1000000b205a0aRCRD;DE LOS COMUNEROS DE CASTILLA;CALLE;V;30;;;;;MADRID;MADRID;28019;SAN ISIDRO;CARABANCHEL;438946;4472344;403.975.850.662.447;-37.207.386.328.562.300;"91 588 08 30                                                                                                                                                      
";;bpanammatute@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
5768564;Biblioteca Pública Municipal Angel González (Latina); La Biblioteca Pública Ángel González se inauguró el 26 de julio de 2010, contando con la presencia de, entre otros, el entonces Alcalde Alberto Ruiz-Gallardón, la Delegada del Área de Las Artes, Alicia Moreno, y la viuda del escritor, Susana Rivera.   El edificio es obra del arquitecto Carlos de Riaño, donde predomina el hormigón y el cristal. A pesar de estar junto a la A5, el aislamiento del entorno se consigue gracias a la utilización de grandes terrazas como elemento constructivo. Tiene su fachada principal orientada hacia la autovía de Extremadura en previsión del soterramiento de la autovía ;" De lunes a viernes de 8:30 a 21 horas; sábados de 9 a 18 horas y domingos de 9 a 14 horas. Los festivos y los fines de semana de agosto, la biblioteca permanecerá cerrada. ";" Accesible a personas con discapacidad física.   Espacios:  Sala de consulta; Sala de lectura; Sala de publicaciones periódicas; Sala infantil; Sala polivalente; Sala de actividades; Sala de trabajo en grupo.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de telelupa; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro:  Campamento   Bus:  25, 36, 39, 65, 121, 131, 138, H;   Superficie:  2.811 metros cuadrados   Puestos de lectura:  309   Puestos de Internet:  34   Puestos de la sala polivalente:  60   Puestos de la sala de actividades:  18   Puestos de la sala de trabajo en grupo:  24   Bibliotecarios:  María Sierra Gómez-Díaz (directora)  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ec750a2153ef9210VgnVCM2000000c205a0aRCRD;GRANJA DE TORREHERMOSA;CALLE;V;1;;;;;MADRID;MADRID;28024;ALUCHE;LATINA;435063;4472320;40.397.074.625.115.900;-37.664.885.474.841.500;91 512 35 42;;bpangelgonzalez@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1762;Biblioteca Pública Municipal Buenavista (Salamanca);La Biblioteca Pública Municipal Buenavista se encuentra dentro del Centro Cultural homónimo. El edificio que la alberga fue construido durante la  II  República por el Ayuntamiento de Madrid para Casa de Baños, según proyecto de José Lorite y reformado por el arquitecto municipal Salvador Pérez Arroyo en 1982. El cambio de función e inauguración como Centro Cívico tuvo lugar el 30 de abril de 1983 y la Biblioteca abrió sus puertas el 12 marzo de 1984.  La Biblioteca, ocupa uno de los pabellones que alojaron las piletas de las piscinas y sus vestuarios, en concreto, la zona del vaso destinada al baño de los hombres. En la actualidad esta estructura se observa en la sala de lectura y consulta donde los usuarios adultos se sumergen en sus fondos bibliográfícos; De lunes a viernes de 9 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro:  Diego de León, Manuel Becerra  Bus:  1, 43, 48, 56, 74, Circular;   Superficie:  371 metros cuadrados   Puestos de lectura:  76   Puestos de Internet:  15   Bibliotecarios:  Lourdes Ramirez Barranco  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c53e3d0b5e71c010VgnVCM1000000b205a0aRCRD;TOREROS;AVENIDA;V;5;;;;;MADRID;MADRID;28028;GUINDALERA;SALAMANCA;443202;4476130;4.043.199.309.720.510;-3.670.929.243.543.710;91 724 08 04;;bpbuenavista@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1745;Biblioteca Pública Municipal Canillejas (San Blas-Canillejas);La Biblioteca Pública Municipal de Canillejas se inauguró el 4 de agosto de 1981 en la tercera planta del edificio que entonces ocupaba la Junta Municipal del Distrito de San Blas, en la calle Torre Arias. Ocho años después se trasladó al edificio que ocupa hoy, en la calle Boltaña, justo enfrente de su ubicación anterior y en pleno núcleo comercial del barrio de Canillejas. Su reapertura al público, en las nuevas instalaciones, se produjo el 15 de marzo de 1989, compartiendo edificio con el Centro Cultural Buero Vallejo. ; De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;"  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil; Sala polivalente (capacidad: 16 personas)  Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro:  Canillejas, Torre Arias (Línea 5).  Bus:  77, 105, 140;   Superficie:  466 metros cuadrados   Puestos de lectura:  98   Puestos de Internet:  6   Bibliotecarios:  María Rosario Cabezuelo Jiménez (directora)  ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=eb9e995a8bf5d010VgnVCM2000000c205a0aRCRD;BOLTAÑA;CALLE;NUM;23;;;;EN CENTRO CULTURAL BUERO VALLEJO;MADRID;MADRID;28022;CANILLEJAS;SAN BLAS-CANILLEJAS;448229;4477693;4.044.640.229.188.280;-36.117.933.204.271.000;91 741 11 34;;bpcanillejas@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1794;Biblioteca Pública Municipal Ciudad Lineal (Ciudad Lineal);" La Biblioteca de Ciudad Lineal se inauguró en febrero de 1993 asistiendo al acto el Alcalde, José M&ordf; Alvarez del Manzano, y la entonces Concejal de Cultura, Esperanza Aguirre.   Se encuentra dentro del Centro Cultural Príncipe de Asturias, en la primera planta. Su construcción se realizó para dar servicio a la zona y sustituir a la anterior biblioteca que había en los locales de un edificio de viviendas. Desde entonces ha sido ampliada tan solo una vez, en 50  m&sup2; , en el año 2004, afectando esta obra a su distribución interna."; De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.   Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro:  Ciudad Lineal   Bus : 4, 38, 48, 70, 77, 105, 109;   Superficie:  483 metros cuadrados   Puestos de lectura:  114   Puestos de Internet:  10   Bibliotecarios:  Natalia García Navas (directora)  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=82ce995a8bf5d010VgnVCM2000000c205a0aRCRD;HERMANOS GARCIA NOBLEJAS;CALLE;V;14;;;;;MADRID;MADRID;28037;PUEBLO NUEVO;CIUDAD LINEAL;446054;4476600;4.043.641.736.294.720;-3.637.346.971.302.500;915 887 566;;bpciudadlineal@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1882;Biblioteca Pública Municipal Conde Duque (Centro); La Biblioteca Pública Conde Duque se inaugura en los años 90, cuando se traslada a este edificio la Biblioteca Municipal situada en el actual emplazamiento del Museo de Historia de Madrid, en la calle Fuencarral, separándose la Biblioteca Pública de la Biblioteca Histórica, que habían estado juntas hasta entonces.  El Cuartel de Conde Duque se reformó en 2011, obra llevada a cabo por el arquitecto Carlos de Riaño, reinaugurándose la biblioteca al año siguiente, en un primer momento fusionada con la Biblioteca Musical Víctor Espinós, de la que posteriormente se separaría. Con la reforma ganó en amplitud y homogeneidad con el resto de la red, ya que anteriormente no contaba con sala infantil ni multimedia. ; De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.   Espacios:  Sala de Consulta y Lectura; Préstamo de libros, CDs, CD-Rom y DVD; Zona de publicaciones periódicas.  Servicios:  Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Sala infantil; Reprografía. "; Metro:  Ventura Rodríguez, Plaza de España, San Bernardo y Noviciado.  Bus : 1, 2, 7, 21, 44, 74, 147, Circular, Minibús M-2;   Superficie:  5.870 metros cuadrados   Puestos de lectura:  227   Puestos de Internet:  26   Bibliotecarios : María Teresa Artigas Cano de Santayana (directora)  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=13ec3d0b5e71c010VgnVCM1000000b205a0aRCRD;CONDE DUQUE;CALLE;V;9;;;;;MADRID;MADRID;28015;UNIVERSIDAD;CENTRO;439833;4475645;4.042.738.668.300.470;-37.105.999.955.473.600;91 480 14 39;;bpcondeduque@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
51188;Biblioteca Pública Municipal Dámaso Alonso (Chamartín); La biblioteca se abrió al público en mayo de 1999 denominándose Biblioteca Mateo Inurria, por estar situada en dicha calle. En 2008, por acuerdo plenario, pasó a llamarse Biblioteca Dámaso Alonso. Y es que este poeta vivió en el número 25 de la calle Alberto Alcocer, en una casita con huerta y jardín situada en su momento a las afueras de Madrid, en Chamartín de la Rosa. En cuanto a los orígenes de la biblioteca, en 1997 la sede del diario  Ya  se convierte en sede del Barclays Bank. A cambio, la entidad cede una parcela al Ayuntamiento para la construcción de una biblioteca, que entregó ya equipada. En 2008 se amplió el vestíbulo, se instaló un ascensor y se cerró una de las dos escaleras. En su lugar se colocó un lucernario para iluminar la sala de lectura. ; De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.  Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de telelupa; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro:  Plaza de Castilla , Duque de Pastrana   Bus:  70, 107, 129, 174;   Superficie:  808 metros cuadrados   Puestos de lectura:  129   Puestos de Internet:  8   Bibliotecarios:  Carmen Manzano Guadaño (directora)  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5870007f8441f010VgnVCM1000000b205a0aRCRD;MANUEL FERRERO;CALLE;V;1;;;;;MADRID;MADRID;28036;CASTILLA;CHAMARTIN;442072;4480075;40.467.453.379.213.100;-36.846.112.774.442.700;91 350 31 50;;bpdamasoalonso@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
